code,name,fund_type,nav,shares,style,manager,custodian,management_fee,custody_fee,fund_manager,inception_date,inception,age_years,total_fee,scale_proxy,category
510050.SH,上证50ETF华夏,契约型开放式,3.0768,14096466800.0,平衡型基金,华夏基金,中国工商银行,0.15,0.05,徐猛,20041230.0,2004-12-30,21.388090349075977,0.2,43372009050.24,宽基/核心
510150.SH,消费ETF招商,契约型开放式,0.5173,3047178600.0,成长型基金,招商基金,中国工商银行,0.5,0.1,许荣漫,20101208.0,2010-12-08,15.449691991786448,0.6,1576305489.78,行业/主题
510230.SH,金融ETF国泰,契约型开放式,1.2905,3229808000.0,价值型基金,国泰基金,中国银行,0.5,0.1,艾小军,20110331.0,2011-03-31,15.14031485284052,0.6,4168067224.0,行业/主题
510270.SH,国企ETF中银,契约型开放式,1.518,16832100.0,平衡型基金,中银基金,招商银行,0.5,0.1,"赵建忠,李念",20110616.0,2011-06-16,14.929500342231348,0.6,25551127.8,宽基/核心
510300.SH,沪深300ETF华泰柏瑞,契约型开放式,4.8882,35269687700.0,平衡型基金,华泰柏瑞基金,中国工商银行,0.15,0.05,柳军,20120504.0,2012-05-04,14.04517453798768,0.2,172405287415.14,宽基/核心
510310.SH,沪深300ETF易方达,契约型开放式,4.7312,28219244000.0,平衡型基金,易方达基金,中国建设银行,0.15,0.05,"余海燕,庞亚平",20130306.0,2013-03-06,13.207392197125257,0.2,133510887212.8,宽基/核心
510320.SH,沪深300ETF中金,契约型开放式,1.3123,580068500.0,,中金基金,中国建设银行,0.15,0.05,刘重晋,20250416.0,2025-04-16,1.0951403148528405,0.2,761223892.5500001,宽基/核心
510330.SH,沪深300ETF华夏,契约型开放式,5.0877,17636649800.0,平衡型基金,华夏基金,中国工商银行,0.15,0.05,赵宗庭,20121225.0,2012-12-25,13.401779603011637,0.2,89729983187.45999,宽基/核心
510350.SH,沪深300ETF工银,契约型开放式,5.1045,691314700.0,平衡型基金,工银瑞信基金,中国农业银行,0.15,0.05,刘伟琳,20190520.0,2019-05-20,7.003422313483915,0.2,3528815886.15,宽基/核心
510500.SH,中证500ETF南方,契约型开放式,8.774,6014168600.0,平衡型基金,南方基金,中国农业银行,0.15,0.05,罗文杰,20130206.0,2013-02-06,13.284052019164955,0.2,52768315296.399994,宽基/核心
